что,ингредиенты,сколько ?,сколько по факту нужно ,приблизительная цена,где купить ,"Белки, г","Жиры, г","Углеводы, г",каллорийность (100 г)
,Соль Усольская Экстра 1000г пак ,,1 щепотка,-,Akademshop,,,,
,Масло Слобода подс.оливк.1.0 пл/б,,15 мл,-,Akademshop,,,,
Классический салат с крабовыми палочками и кукурузой,,,,403,,"4,1","6,4","7,3","105,1"
https://kalkulyator-kaloriy.ru/klassicheskiy-salat-s-krabovymi-palochkami/,Яйцо Куриное 10шт отборное Яркое Утро,10 шт,2 шт ,77,Akademshop,,,,
,Крабовые Палочки Р.Море охлаж.200г,200 г,100 г,91,Akademshop,,,,
,Кукуруза Ск.Самобр.отборн.340г/425мл ж/б,340 г,100 г,71,Akademshop,,,,
,Огурец Толмачевский ТК шт,1 шт,1 шт,54,Akademshop,,,,
,Рис Вьетнам/Тайланд длинноз.вес,1 шт,4 ст . л.,60,Akademshop,,,,
,Соль Усольская Экстра 1000г пак ,,2 щепотки,-,Akademshop,,,,
,Майонез Calve Классический 200г пак.доз.,200 г,2 ст. л.,50,Akademshop,,,,
Картофельное пюре с грибами и луком,,,,"122,7",,"2,2","1,6","12,6","73,9"
https://kalkulyator-kaloriy.ru/kartofelnoe-pyure-s-gribami-i-lukom/,Картофель вес,600 г,600 г,"27,6",Akademshop,,,,
,Грибы Шампиньоны вес,100 г,100 г,"47,3",Akademshop,,,,
,Лук Репчатый вес,200 г,1 шт,"7,2",Akademshop,,,,
,Масло Аннинское подс.раф.дез.0.9 пл/б – 1 ст. л.,,1 ст. л.,-,Akademshop,,,,
,Соль Усольская Экстра 1000г пак ,,по вкусу,-,Akademshop,,,,
,Петрушка вес,100 г ,3 веточки,"40,6",Akademshop,,,,
Гречневый суп с говядиной,,,,"211,6",,"7,3","5,3","10,4","117,6"
https://kalkulyator-kaloriy.ru/grechnevyy-sup-s-govyadinoy/,Говядина отбивная охл.п/ф,300 г,250 г,"179,7",Akademshop,,,,
,Морковь вес,100 г,1 шт,"4,2",Akademshop,,,,
,Лук Репчатый вес,200 г,1 шт,"7,2",Akademshop,,,,
,Масло Аннинское подс.раф.дез.0.9 пл/б – 1 ст. л.,,1 ст. л.,-,Akademshop,,,,
,Картофель вес,300 г,3 шт,"13,8",Akademshop,,,,
,Гречка вес,100 г,40 г,"6,7",Akademshop,,,,
,Соль Усольская Экстра 1000г пак ,,по вкусу,-,Akademshop,,,,
Свиные тефтели с кабачком на сковороде,,,,"547,8",,7,"9,8","4,5","137,1"
https://kalkulyator-kaloriy.ru/svinye-tefteli-s-kabachkom-na-skovorode/,Фарш из свинины п/ф свинина 100%,400 г,400 г,"143,6",Akademshop,,,,
,Яйцо Куриное 10шт отборное Яркое Утро,10 шт,1 шт ,77,Akademshop,,,,
,Соль Усольская Экстра 1000г пак ,,по вкусу,-,Akademshop,,,,
,Рис Вьетнам/Тайланд длинноз.вес,1 шт,3 ст . л.,60,Akademshop,,,,
,Кабачок вес,400г,200 г,110,Akademshop,,,,
,Масло Аннинское подс.раф.дез.0.9 пл/б – 1 ст. л.,,1 ст. л.,-,Akademshop,,,,
,Лук Репчатый вес,200 г,1 шт,"7,2",Akademshop,,,,
,Том.Паста Heinz 70г ж/б,70 г,"1,5 ст. л.",54,Akademshop,,,,
,Сметана БЗМЖ Простоквашино 10% 315г пл/ст,1 шт (315 г),1 ст. л.,71,Akademshop,,,,
,Лавровый Лист Приправыч отборный 10г,10 г,2-3 шт,25,Akademshop,,,,
